Model,Engine Size (cm3),Horse Power (HP),Year,Location,Kilometers,Fuel Type,Price (EUR),URL
BMW Seria 3 320d DPF Aut.,1995,177,2010,Maramures,176000,Diesel,6250,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-dpf-aut-ID7HAAzD.html
BMW Seria 3 320d,1995,177,2009,Bacau,258000,Diesel,6290,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-ID7HBj9f.html
BMW Seria 3 318i,1995,143,2009,Bucuresti,153500,Benzina,6300,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318i-ID7HyMgE.html
BMW Seria 3 318i Edition Sport,1995,143,2009,Mures,210005,Benzina,6350,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318i-edition-sport-ID7HAyfP.html
BMW Seria 3 320d DPF Touring Aut.,1995,184,2011,Bacau,308172,Diesel,6350,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-dpf-touring-aut-ID7HBmpz.html
BMW Seria 3,1995,170,2010,Timis,193800,Benzina,6400,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HBKuQ.html
BMW Seria 3,1995,170,2008,Ilfov,180000,Benzina,6400,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HBD4y.html
BMW Seria 3,1995,184,2011,Brasov,302696,Diesel,6490,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HwJzm.html
BMW Seria 3 320d DPF Touring,1995,184,2011,Bihor,279718,Diesel,6499,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-dpf-touring-ID7Hy13l.html
BMW Seria 3 320Ci Coupe,1995,170,2010,Timis,166000,Benzina,6500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320ci-coupe-ID7HydMQ.html
BMW Seria 3 320d,1995,184,2011,Buzau,235421,Diesel,6500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-ID7HBno5.html
BMW Seria 3,1995,183,2010,Alba,331000,Diesel,6500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HzT6k.html
BMW Seria 3 318d Touring Aut. Modern Line,1995,143,2010,Salaj,205376,Diesel,6500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-touring-aut-modern-line-ID7HBcO0.html
BMW Seria 3 320d Aut.,1995,184,2010,Bihor,234265,Diesel,6500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-aut-ID7HATlp.html
BMW Seria 3 320d xDrive DPF Touring Aut.,1995,177,2009,Dolj,360000,Diesel,6500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-xdrive-dpf-touring-aut-ID7HzLdS.html
BMW Seria 3 320d xDrive Aut.,1995,184,2011,Constanta,370000,Diesel,6550,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-xdrive-aut-ID7HBHq3.html
BMW Seria 3 318d,1995,143,2013,Brasov,318000,Diesel,6600,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-ID7HB5lw.html
BMW Seria 3 318d,1995,143,2010,Brasov,255000,Diesel,6650,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-ID7HBt6A.html
BMW Seria 3 320d DPF Touring,1995,177,2009,Timis,267827,Diesel,6699,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-dpf-touring-ID7HyweE.html
BMW Seria 3,1995,143,2013,Bucuresti,270000,Diesel,6750,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HxX03.html
BMW Seria 3,1995,177,2009,Bacau,256000,Diesel,6790,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HBgJi.html
BMW Seria 3 320d DPF Touring,1995,177,2008,Ilfov,320000,Diesel,6900,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-dpf-touring-ID7HADse.html
BMW Seria 3 320d,1995,184,2011,Salaj,263000,Diesel,6950,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-ID7HBwJM.html
BMW Seria 3 318d DPF,1995,143,2011,Sibiu,177000,Diesel,6950,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-dpf-ID7HBCoG.html
BMW Seria 3 320d xDrive DPF Touring Aut.,1995,184,2010,Mures,278000,Diesel,6990,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-xdrive-dpf-touring-aut-ID7Hy6y9.html
BMW Seria 3 320d,1995,177,2009,Buzau,241000,Diesel,6990,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-ID7HBBm3.html
BMW Seria 3 316d Advantage,1995,116,2015,Dolj,232000,Diesel,6999,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-316d-advantage-ID7HxebQ.html
BMW Seria 3 320Ci Coupe,1995,170,2008,Satu Mare,207000,Benzina,6999,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320ci-coupe-ID7HAlV6.html
BMW Seria 3,1995,143,2012,Timis,219665,Diesel,6999,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HBaPx.html
BMW Seria 3 318d DPF Touring,1995,143,2009,Arad,269000,Diesel,6999,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-dpf-touring-ID7HtjPm.html
BMW Seria 3 320i Cabrio,1995,170,2008,Bucuresti,257000,Benzina,7000,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320i-cabrio-ID7HAFJ8.html
BMW Seria 3 318d DPF Edition Exclusive,1995,143,2011,Ilfov,195000,Diesel,7138,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-dpf-edition-exclusive-ID7HvDZR.html
BMW Seria 3,1995,177,2008,Bucuresti,213000,Diesel,7200,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HBCmF.html
BMW Seria 3 320i Aut.,1997,184,2012,Ilfov,309000,Benzina,7200,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320i-aut-ID7Hp2Ed.html
BMW Seria 3,1995,143,2010,Cluj,302500,Diesel,7200,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7Hw00H.html
BMW Seria 3,1995,163,2014,Bucuresti,287000,Diesel,7200,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HA1uL.html
BMW Seria 3 320d EfficientDynamics Edition,1995,163,2014,Iasi,261000,Diesel,7200,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-efficientdynamics-edition-ID7HvXNc.html
BMW Seria 3 318d Touring Aut.,1995,143,2014,Bacau,275297,Diesel,7250,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-touring-aut-ID7HBDrY.html
BMW Seria 3 320d Touring xDrive,1995,184,2013,Olt,275700,Diesel,7350,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-touring-xdrive-ID7HAA06.html
BMW Seria 3 320d,1995,184,2011,Iasi,173000,Diesel,7400,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-ID7Hxsat.html
BMW Seria 3 318d Touring,1995,143,2014,Bihor,271255,Diesel,7400,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-touring-ID7HBDcd.html
BMW Seria 3,1995,163,2012,Gorj,330000,Diesel,7450,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7Hs8Ep.html
BMW Seria 3 320d DPF Aut.,1995,163,2011,Ilfov,220000,Diesel,7490,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-dpf-aut-ID7HBCAl.html
BMW Seria 3 320d Touring Aut. Efficient Dynamics Edition Blue Perf. Sport Line,1995,163,2013,Ilfov,420000,Diesel,7490,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-touring-aut-efficient-dynamics-edition-blue-perf-sport-line-ID7Hr0gz.html
BMW Seria 3,1995,184,2012,Botosani,245296,Diesel,7499,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HBwna.html
BMW Seria 3 318i,1995,143,2009,Arad,253000,Benzina,7499,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318i-ID7HAzbi.html
BMW Seria 3 320d DPF Touring Aut.,1995,184,2010,Arad,199000,Diesel,7499,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-dpf-touring-aut-ID7HByVt.html
BMW Seria 3 320d Cabrio,1995,177,2009,Bucuresti,315000,Diesel,7500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-cabrio-ID7HA1G4.html
BMW Seria 3,2993,197,2009,Braila,270000,Diesel,7550,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HBCbX.html
BMW Seria 3,1995,143,2013,Sibiu,252000,Diesel,7599,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7Httfh.html
BMW Seria 3 318i,1995,143,2009,Constanta,137000,Benzina,7600,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318i-ID7HyUOW.html
BMW Seria 3 318d Touring Luxury Line,1995,143,2013,Maramures,257000,Diesel,7650,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-touring-luxury-line-ID7HBEkg.html
BMW Seria 3,1995,177,2012,Timis,275000,Diesel,7700,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HBiK1.html
BMW Seria 3 320i Cabrio Aut.,1995,170,2008,Bucuresti,165000,Benzina,7700,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320i-cabrio-aut-ID7HBehx.html
BMW Seria 3 316d,1995,116,2014,Tulcea,290000,Diesel,7700,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-316d-ID7HA1PJ.html
BMW Seria 3 325d GT Aut. Modern Line,1995,218,2014,Maramures,290000,Diesel,7700,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-325d-gt-aut-modern-line-ID7HAxhL.html
BMW Seria 3 318i Touring,1995,143,2010,Tulcea,290000,Benzina,7700,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318i-touring-ID7HBrI2.html
BMW Seria 3 320d,1995,184,2013,Timis,231147,Diesel,7800,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-ID7HBmIR.html
BMW Seria 3 320d Efficient Dynamic Edition Modern Line,1995,163,2013,Prahova,262000,Diesel,7890,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-efficient-dynamic-edition-modern-line-ID7HBguM.html
BMW Seria 3 318d Touring Aut.,1995,143,2014,Bihor,315000,Diesel,7900,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-touring-aut-ID7HBBmA.html
BMW Seria 3 320d xDrive DPF Aut. Edition Fleet Sport,1995,163,2011,Prahova,307000,Diesel,7900,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-xdrive-dpf-aut-edition-fleet-sport-ID7HBDOe.html
BMW Seria 3,1995,143,2012,Bucuresti,230000,Diesel,7950,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HAyvs.html
BMW Seria 3 318d,1995,143,2013,Bacau,238248,Diesel,7990,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-ID7HAzjc.html
BMW Seria 3 316d Touring Advantage,1995,116,2014,Bucuresti,194908,Diesel,7990,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-316d-touring-advantage-ID7HorYS.html
BMW Seria 3 320i Cabriolet,1995,170,2011,Ilfov,239000,Benzina,7990,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320i-cabriolet-ID7HBlTj.html
BMW Seria 3 320d DPF Touring Aut.,1995,184,2013,Vaslui,386200,Diesel,7990,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-dpf-touring-aut-ID7HB9qk.html
BMW Seria 3 320d Touring xDrive Sport-Aut.,1995,184,2012,Arges,198879,Diesel,7990,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-touring-xdrive-sport-aut-ID7GFmeD.html
BMW Seria 3 318d,1995,143,2009,Arad,257000,Diesel,7999,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-ID7HyDIb.html
BMW Seria 3 316i,1599,122,2008,Arad,205000,Benzina,7999,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-316i-ID7HwY7H.html
BMW Seria 3 320d xDrive,1995,177,2009,Timis,260000,Diesel,7999,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-xdrive-ID7HymK0.html
BMW Seria 3 318d,1995,143,2013,Cluj,285200,Diesel,7999,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-ID7HAFog.html
BMW Seria 3 320d xDrive,1995,184,2013,Ilfov,311217,Diesel,7999,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-xdrive-ID7HBLhd.html
BMW Seria 3 318d Touring Aut. Blue Performance Sport Line,1995,143,2014,Buzau,268000,Diesel,7999,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-touring-aut-blue-performance-sport-line-ID7HBDNV.html
BMW Seria 3 318i,1995,143,2009,Timis,266000,Benzina,7999,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318i-ID7HxiiT.html
BMW Seria 3 316i,1599,122,2009,Arad,240000,Benzina,7999,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-316i-ID7HveDt.html
BMW Seria 3 318d DPF Touring Aut.,1995,143,2011,Timis,276000,Diesel,7999,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-dpf-touring-aut-ID7HtLNg.html
BMW Seria 3 318d Touring Aut.,1995,143,2015,Prahova,285000,Diesel,7999,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-touring-aut-ID7HAj98.html
BMW Seria 3,1995,218,2014,Bucuresti,280000,Diesel,8000,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HByF9.html
BMW Seria 3 318d Aut.,1995,143,2013,Arad,270000,Diesel,8050,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-aut-ID7HBARw.html
BMW Seria 3,1995,150,2015,Prahova,249000,Diesel,8150,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HAZH2.html
BMW Seria 3 320d EfficientDynamics Edition Luxury Line,1995,163,2013,Prahova,270000,Diesel,8199,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-efficientdynamics-edition-luxury-line-ID7HAyl0.html
BMW Seria 3 318d Touring,1995,143,2013,Arges,233000,Diesel,8199,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-touring-ID7Hs3EH.html
BMW Seria 3 320d Coupe Aut.,1995,184,2012,Braila,257628,Diesel,8200,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-coupe-aut-ID7HjBw9.html
BMW Seria 3 320d DPF Aut. Edition Exclusive,1995,184,2011,Ilfov,230000,Diesel,8250,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-dpf-aut-edition-exclusive-ID7HBcEY.html
BMW Seria 3 318d Blue Performance,1995,143,2014,Constanta,298000,Diesel,8300,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-blue-performance-ID7HwJqR.html
BMW Seria 3 320d Blue Performance Modern Line,1995,184,2013,Prahova,261000,Diesel,8350,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-blue-performance-modern-line-ID7Hy5Sc.html
BMW Seria 3 316d,1995,116,2015,Alba,219600,Diesel,8350,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-316d-ID7HvbtW.html
BMW Seria 3,1995,177,2008,Suceava,312000,Diesel,8399,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HAZZL.html
BMW Seria 3,1995,143,2015,Ilfov,279893,Diesel,8490,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HBt5l.html
BMW Seria 3,1995,143,2014,Bacau,290335,Diesel,8490,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HxpNL.html
BMW Seria 3 318d,1995,143,2012,Bucuresti,274422,Diesel,8490,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-ID7HBc7n.html
BMW Seria 3,1995,183,2013,Cluj,199000,Diesel,8499,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HBiVh.html
BMW Seria 3 316i,1598,136,2013,Cluj,251651,Benzina,8499,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-316i-ID7HAyI6.html
BMW Seria 3,1995,143,2014,Ilfov,322100,Diesel,8499,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HBlf2.html
BMW Seria 3 318d Modern Line,1995,143,2012,Cluj,270000,Diesel,8499,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-modern-line-ID7Hx114.html
BMW Seria 3 320d Touring xDrive Aut.,1995,184,2010,Timis,259000,Diesel,8499,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-touring-xdrive-aut-ID7HA7y8.html
BMW Seria 3,1995,116,2012,Timis,226000,Diesel,8499,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HxEtt.html
BMW Seria 3 318d Touring Aut.,1995,150,2016,Maramures,276000,Diesel,8500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-touring-aut-ID7HBpYp.html
BMW Seria 3 318d,1995,143,2014,Cluj,269000,Diesel,8500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-ID7HzwJl.html
BMW Seria 3,1995,143,2014,Cluj,223626,Diesel,8500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HBLPH.html
BMW Seria 3 316d Aut. Luxury Line,1995,116,2015,Bucuresti,290000,Diesel,8500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-316d-aut-luxury-line-ID7HBLPv.html
BMW Seria 3 320d Touring xDrive Sport Line,1995,184,2014,Cluj,314000,Diesel,8500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-touring-xdrive-sport-line-ID7HBmph.html
BMW Seria 3 320i Cabrio,1995,170,2009,Mures,219000,Benzina,8500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320i-cabrio-ID7HmVJt.html
BMW Seria 3 316d Aut. Luxury Line,1995,116,2015,Bucuresti,290000,Diesel,8500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-316d-aut-luxury-line-ID7HBLPL.html
BMW Seria 3,1995,143,2012,Bucuresti,278000,Diesel,8600,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HzUNS.html
BMW Seria 3 318d,1995,143,2015,Bucuresti,276000,Diesel,8600,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-ID7HB6o5.html
BMW Seria 3 316d,1995,116,2014,Ilfov,295000,Diesel,8700,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-316d-ID7HBlbx.html
BMW Seria 3 320d xDrive DPF Touring Aut.,1995,184,2013,Satu Mare,238000,Diesel,8700,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-xdrive-dpf-touring-aut-ID7HzDCi.html
BMW Seria 3,1995,184,2014,Arges,258431,Diesel,8749,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HAxgd.html
BMW Seria 3 318d,1995,143,2014,Timis,267000,Diesel,8799,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-ID7HxYea.html
BMW Seria 3 318d,1995,143,2012,Arad,307000,Diesel,8800,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-ID7HBtt3.html
BMW Seria 3,1995,184,2013,Ialomita,325000,Diesel,8800,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HBnPD.html
BMW Seria 3 328i Touring Sport-Aut. Sport Line,1997,245,2012,Prahova,260000,Benzina,8900,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-328i-touring-sport-aut-sport-line-ID7Hxj5O.html
BMW Seria 3 320d Touring xDrive Aut. Sport Line,1995,184,2013,Dambovita,249000,Diesel,8900,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-touring-xdrive-aut-sport-line-ID7HBgj2.html
BMW Seria 3 320i Touring Aut. Advantage,1998,184,2015,Brasov,250000,Benzina,8900,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320i-touring-aut-advantage-ID7HAZSH.html
BMW Seria 3,1995,184,2011,Satu Mare,280000,Diesel,8950,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HBwIz.html
BMW Seria 3 318d,1995,143,2012,Brasov,220000,Diesel,8950,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-ID7HwCJ1.html
BMW Seria 3 320d,1995,184,2013,Bacau,245848,Diesel,8990,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-ID7HBn37.html
BMW Seria 3 316d Touring Advantage,1995,116,2016,Bucuresti,198000,Diesel,8990,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-316d-touring-advantage-ID7Hsbsd.html
BMW Seria 3,1995,185,2014,Bacau,208676,Diesel,8990,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HBBoV.html
BMW Seria 3 318d Touring,1995,143,2016,Bucuresti,189100,Diesel,8990,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-touring-ID7HryPK.html
BMW Seria 3 316d Sport Line,1995,116,2012,Covasna,189000,Diesel,8990,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-316d-sport-line-ID7HAHeg.html
BMW Seria 3,1995,143,2014,Bucuresti,220202,Diesel,8990,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HBFbY.html
BMW Seria 3 325d Luxury Line,1995,224,2016,Bucuresti,302115,Diesel,8990,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-325d-luxury-line-ID7HAzdy.html
BMW Seria 3,1995,183,2012,Timis,258350,Diesel,8999,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HBp7T.html
BMW Seria 3 318d GT Modern Line,1995,143,2016,Cluj,212000,Diesel,8999,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-gt-modern-line-ID7HBMLX.html
BMW Seria 3 320d DPF Touring Blue Performance Edition Fleet Sport,1995,163,2013,Cluj,282000,Diesel,8999,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-dpf-touring-blue-performance-edition-fleet-sport-ID7HB7uj.html
BMW Seria 3 316i Modern Line,1598,136,2013,Gorj,250000,Benzina,8999,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-316i-modern-line-ID7HBtyn.html
BMW Seria 3 320d DPF Touring Aut.,1995,184,2013,Bacau,222503,Diesel,8999,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-dpf-touring-aut-ID7HABRP.html
BMW Seria 3,1995,116,2014,Timis,262311,Diesel,8999,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HtjVe.html
BMW Seria 3 320d xDrive Aut.,1995,184,2010,Timis,271000,Diesel,8999,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-xdrive-aut-ID7HAAdf.html
BMW Seria 3 318d,1995,143,2013,Timis,275000,Diesel,8999,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-ID7HtzdB.html
BMW Seria 3 316d Touring Aut. Advantage,1995,116,2015,Bucuresti,248000,Diesel,9000,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-316d-touring-aut-advantage-ID7HrLpH.html
BMW Seria 3 318d xDrive Advantage,1995,150,2015,Bucuresti,260000,Diesel,9000,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-xdrive-advantage-ID7Hxdk0.html
BMW Seria 3,1995,184,2012,Timis,280000,Diesel,9000,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HBBDf.html
BMW Seria 3 320d,1995,163,2012,Bucuresti,458500,Diesel,9000,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-ID7HBCox.html
BMW Seria 3 318d GT Aut. Sport Line,1995,143,2014,Ilfov,360000,Diesel,9000,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-gt-aut-sport-line-ID7HAhcJ.html
BMW Seria 3,1995,150,2016,Timis,308500,Diesel,9000,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HB6hw.html
BMW Seria 3,1995,183,2012,Arad,213000,Diesel,9100,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HxnUD.html
BMW Seria 3 318d Aut. Sport Line,1995,143,2013,Bucuresti,240600,Diesel,9100,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-aut-sport-line-ID7HAiJB.html
BMW Seria 3 318d Touring Aut.,1995,143,2014,Galati,187500,Diesel,9200,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-touring-aut-ID7HzE0o.html
BMW Seria 3,2500,171,1984,Giurgiu,125440,Benzina,9300,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HBBr5.html
BMW Seria 3 318d Touring Aut. Blue Performance Sport Line,1995,143,2015,Bacau,280000,Diesel,9300,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-touring-aut-blue-performance-sport-line-ID7HBtms.html
BMW Seria 3 320d DPF Touring Aut. Edition Sport,1995,184,2013,Mures,217075,Diesel,9350,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-dpf-touring-aut-edition-sport-ID7HyVND.html
BMW Seria 3,1995,184,2014,Cluj,304000,Diesel,9400,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HAaBt.html
BMW Seria 3,1995,218,2014,Arad,276148,Diesel,9450,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HBeFB.html
BMW Seria 3 320d DPF Touring,1995,184,2013,Arad,255000,Diesel,9490,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-dpf-touring-ID7HBdWn.html
BMW Seria 3,1995,143,2014,Bucuresti,295850,Diesel,9490,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7Hyzp4.html
BMW Seria 3 318d GT Sport Line,1995,150,2015,Bucuresti,299200,Diesel,9499,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-gt-sport-line-ID7HB7EW.html
BMW Seria 3 318d,1995,143,2014,Bucuresti,262000,Diesel,9500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-ID7HBMM4.html
BMW Seria 3 318d xDrive,1995,143,2015,Ilfov,152000,Diesel,9500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-xdrive-ID7HyuQI.html
BMW Seria 3 320d Efficient Dynamic Edition Sport-Aut.,1995,163,2012,Bucuresti,275000,Diesel,9600,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-efficient-dynamic-edition-sport-aut-ID7HBoGy.html
BMW Seria 3 335d DPF Touring Aut. Edition Exclusive,2993,286,2011,Sibiu,240000,Diesel,9600,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-335d-dpf-touring-aut-edition-exclusive-ID7Hxwdg.html
